death,injuries,property_large,property_medium,property_small,keyword,label
100,48,4,1,0,0.09302325581395349,3
0,140,4,1,0,0.075,3
0,120,5,1,0,0.047619047619047616,3
0,128,1,0,0,0.025,3
0,45,1,0,0,0.10638297872340426,3
30,130,2,0,0,0.10810810810810811,3
35,142,0,0,0,0.05,3
0,29,5,1,0,0.08108108108108109,3
0,124,3,0,0,0.15,3
23,17,5,1,0,0.07894736842105263,3
30,100,3,0,0,0.06060606060606061,3
20,0,3,1,0,0.08333333333333333,3
25,100,3,0,0,0.03125,3
28,10,0,0,0,0.14285714285714285,3
35,36,4,0,0,0.1,3
0,122,2,1,0,0.034482758620689655,3
0,34,2,0,0,0.08333333333333333,3
38,27,1,1,0,0.07407407407407407,3
0,129,4,0,0,0.07692307692307693,3
0,142,1,1,0,0.0,3
0,28,2,0,0,0.1,3
23,0,1,0,0,0.13636363636363635,3
32,0,3,2,0,0.0,3
27,100,2,0,0,0.043478260869565216,3
0,100,5,0,0,0.18604651162790697,3
0,10,4,0,0,0.05555555555555555,3
0,200,5,2,0,0.1111111111111111,3
0,184,2,0,0,0.07352941176470588,3
100,65,2,0,0,0.1016949152542373,3
70,153,6,1,0,0.017241379310344827,3
0,2068,4,1,0,0.07407407407407407,3
90,77,6,1,0,0.05263157894736842,3
0,182,4,0,0,0.061224489795918366,3
80,1057,5,0,0,0.07692307692307693,3
90,60,2,0,0,0.05128205128205128,3
110,75,2,0,0,0.0975609756097561,3
100,83,3,1,0,0.0,3
70,110,3,2,0,0.13157894736842105,3
50,0,4,0,0,0.1388888888888889,3
60,0,2,0,0,0.08823529411764706,3
80,100,4,0,0,0.05128205128205128,3
50,10,5,1,0,0.07894736842105263,3
65,0,4,2,0,0.11428571428571428,3
80,0,4,0,0,0.10256410256410256,3
50,0,7,1,0,0.08108108108108109,3
60,0,3,1,0,0.07894736842105263,3
70,100,4,1,0,0.05555555555555555,3
0,15,0,2,0,0.08,3
0,160,1,0,0,0.046511627906976744,3
0,1008,1,1,0,0.041666666666666664,3
0,20,1,1,1,0.043478260869565216,3
0,262,4,2,0,0.038461538461538464,3
0,5,3,0,0,0.0,2
0,102,1,0,0,0.08333333333333333,2
10,3,1,0,0,0.047619047619047616,2
0,4,2,1,0,0.09523809523809523,2
0,1,3,0,0,0.04,2
12,2,2,0,0,0.10526315789473684,2
19,1,0,0,0,0.041666666666666664,2
0,6,0,0,0,0.0,2
11,7,2,0,0,0.05263157894736842,2
10,8,1,1,0,0.0,2
14,3,0,0,0,0.09090909090909091,2
0,4,3,0,0,0.09090909090909091,2
16,2,2,1,0,0.09523809523809523,2
19,1,3,0,0,0.058823529411764705,2
10,16,2,1,0,0.05555555555555555,2
12,5,1,1,0,0.09523809523809523,2
15,3,4,0,0,0.05263157894736842,2
11,7,0,0,0,0.13333333333333333,2
17,2,2,1,0,0.0625,2
0,4,1,0,0,0.05,2
16,103,4,2,0,0.037037037037037035,2
12,5,2,0,0,0.045454545454545456,2
0,4,0,0,0,0.15,2
18,2,2,0,0,0.15,2
13,6,3,0,0,0.043478260869565216,2
0,4,2,1,0,0.2,2
10,7,0,0,0,0.19047619047619047,2
17,3,2,0,0,0.045454545454545456,2
11,6,3,0,0,0.047619047619047616,2
12,15,2,1,0,0.11764705882352941,2
0,6,1,0,0,0.07407407407407407,2
15,4,2,1,0,0.05,2
9,7,2,0,0,0.125,2
0,103,0,1,0,0.045454545454545456,2
0,24,3,0,0,0.043478260869565216,2
13,4,2,1,0,0.05263157894736842,2
0,6,3,0,0,0.17391304347826086,2
14,3,1,0,0,0.13043478260869565,2
0,2,2,1,0,0.08333333333333333,2
10,5,2,0,0,0.10526315789473684,2
0,4,2,2,0,0.04,2
10,6,2,0,0,0.09523809523809523,2
0,5,1,0,0,0.19047619047619047,2
17,3,1,0,0,0.09523809523809523,2
12,4,3,0,0,0.16666666666666666,2
18,2,3,1,0,0.08695652173913043,2
16,3,2,0,0,0.09523809523809523,2
13,4,1,0,0,0.0,2
0,5,2,0,0,0.09090909090909091,2
15,3,1,0,0,0.08333333333333333,2
2,0,1,2,0,0.0,1
0,1,1,0,0,0.0,1
5,0,0,0,0,0.047619047619047616,1
0,100,1,0,0,0.1,1
3,1,0,0,0,0.0,1
4,0,1,0,0,0.05555555555555555,1
2,0,1,0,0,0.05263157894736842,1
0,0,0,0,0,0.05,1
3,0,1,1,0,0.05263157894736842,1
5,0,0,1,0,0.06666666666666667,1
2,1,1,1,0,0.0,1
0,0,1,0,0,0.058823529411764705,1
3,0,3,1,0,0.125,1
2,0,0,0,0,0.0625,1
4,1,2,0,0,0.0,1
6,0,1,1,0,0.0,1
3,0,1,0,0,0.0,1
0,1,0,0,0,0.0,1
4,0,2,1,0,0.08333333333333333,1
2,0,1,0,0,0.0,1
0,1,4,0,0,0.13157894736842105,1
4,2,3,0,0,0.05714285714285714,1
3,0,2,1,0,0.06451612903225806,1
0,30,1,0,0,0.08333333333333333,1
3,1,3,1,0,0.0,1
5,0,2,1,0,0.1,1
6,1,3,0,0,0.0,1
2,0,2,0,0,0.07407407407407407,1
3,0,5,0,0,0.038461538461538464,1
0,1,2,0,0,0.03571428571428571,1
3,0,1,0,0,0.045454545454545456,1
2,0,2,0,0,0.045454545454545456,1
4,1,0,0,0,0.09523809523809523,1
0,0,1,0,0,0.0,1
2,0,2,0,0,0.07692307692307693,1
0,1,3,0,0,0.0,1
0,1,2,0,0,0.0,1
2,0,1,0,0,0.07142857142857142,1
3,0,2,0,0,0.05263157894736842,1
4,0,1,0,0,0.038461538461538464,1
3,0,3,0,0,0.06451612903225806,1
2,1,4,0,0,0.0,1
5,0,0,0,0,0.07407407407407407,1
2,0,2,0,0,0.041666666666666664,1
4,0,0,0,0,0.0,1
3,0,2,0,0,0.0,1
2,0,2,0,0,0.04,1
4,0,3,0,0,0.0,1
0,1,0,0,0,0.047619047619047616,1
5,8,0,1,0,0.08695652173913043,1
0,0,2,0,0,0.0,0
0,0,2,0,0,0.03571428571428571,0
0,0,1,0,0,0.0,0
0,0,1,0,1,0.0,0
0,0,0,0,0,0.0,0
0,0,3,0,0,0.0,0
0,0,0,0,0,0.0,0
0,0,1,0,0,0.0,0
0,0,0,0,0,0.0,0
0,0,1,0,0,0.0,0
0,0,2,0,0,0.0,0
0,0,1,0,0,0.05,0
0,0,0,0,0,0.05555555555555555,0
0,0,0,0,0,0.0,0
0,0,0,0,0,0.0,0
0,0,0,0,0,0.0,0
0,100,1,0,0,0.0,0
0,0,0,0,0,0.0,0
0,0,0,2,0,0.0,0
0,0,1,0,0,0.0,0
0,10000,1,0,0,0.0,0
0,500,2,1,0,0.0,0
0,50,2,0,0,0.0,0
0,305,1,1,0,0.0,0
0,200,0,1,0,0.0,0
0,1000,0,0,0,0.043478260869565216,0
0,70,1,2,0,0.0,0
0,1620,0,0,0,0.0,0
0,130,3,0,0,0.0,0
0,410,1,0,0,0.0,0
0,102,1,0,0,0.0,0
0,8,3,0,0,0.0,0
0,1015,0,0,0,0.0,0
0,1020,2,0,0,0.0,0
0,55,0,0,0,0.0,0
0,1030,0,0,0,0.0,0
0,2700,1,0,0,0.047619047619047616,0
0,305,3,0,0,0.0,0
0,100,0,2,0,0.0,0
0,10200,2,0,0,0.0,0
